mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0395049;"Schlauch-Schacht-Passstück 1"" x 190mm,Si";;4250204496475;90289090;Stk;1;218,22;;2,50%;2,057;31,0;31,0;190,0
0395050;"Schlauch-Schacht-Passstück 1¼"" x 260mm,Si";;4250204496482;90289090;Stk;1;234,08;;2,50%;2,600;31,0;31,0;260,0
0395054;Schlauchleitung mit Kappe 2000 mm;Rd1,25 m;4250204496499;90289090;Stk;1;108,68;;2,50%;1,700;400,0;170,0;340,0
0395056;Schlauchleitung mit Kappe 2500mm;Rd1,75-2,00 m;4250204496505;90289090;Stk;1;129,78;;2,50%;2,000;340,0;170,0;400,0
0395058;Schlauchleitung mit Kappe 3500mm;;4250204496512;90289090;Stk;1;155,97;;2,50%;3,200;340,0;170,0;400,0
0395062;Ersatzdichtung Flexorippdeckel m. Zubehör;Ersatzteil, bis 10/2020;4250204496840;90289090;Stk;1;15,89;;2,50%;0,110;150,0;220,0;10,0
0395064;Ersatzprofildichtung FLEXORIPP-Deckel;Ersatzteil, ab 10/2020;4250204498509;40027000;Stk;1;8,15;;2,50%;0,110;150,0;200,0;10,0
0396000;FLEXORIPP Abdeckhaube - 200 kg;;4250204489248;90289090;Stk;1;89,97;;2,50%;17,800;515,0;515,0;75,0
0396001;FLEXORIPP Schachtabdeckung A15, EN124;tagwasserdicht n. RAL-GZ692 2.8;4250204489255;90289090;Stk;1;239,94;;2,50%;38,500;515,0;515,0;130,0
0396002;FLEXORIPP Schachtabdeckung B125, EN124;tagwasserdicht n. RAL-GZ692 2.8;4250204489262;90289090;Stk;1;329,91;;2,50%;47,300;515,0;515,0;130,0
0396004;FLEXORIPP Schachtabdeckung A15, Stehb.;EN124, tagwasserdicht n. RAL-GZ692 2.8, mit Stehbolzen;4255651700717;90289090;Stk;1;267,88;;2,50%;38,500;574,0;130,0;548,0
