mnr;KURZTEXT1;KURZTEXT2;GTIN;INTRASTATNUMMER;MENGENEINHEIT;PE;BRUTTOPREIS 2025;END PREIS;TZ;GEWICHT;B;H;T
0396182;"FLEXORIPP 1"" KH-DM-KSR 1¼""x175mm Rd1,25m";;4250204491845;90289090;Stk;;1.340,24;;;36,5;682;1320;704
0396183;"FLEXORIPP 1"" KH-DM-KSR 1¼""x175mm Rd1,50m";;4250204491852;90289090;Stk;;1.417,45;;;40,2;682;1570;704
0396184;"FLEXORIPP 1"" KH-DM-KSR 1¼""x175mm Rd1,75m";;4250204491869;90289090;Stk;;1.515,69;;;44,2;682;1820;704
0396185;"FLEXORIPP 1"" KH-DM-KSR 1¼""x175mm Rd2,00m";;4250204491876;90289090;Stk;;1.620,94;;;48,1;682;2070;704
0396191;"FLEXORIPP 1"" KH-DM-KSR 1""x220mm Rd1,00m";;4250204491883;90289090;Stk;;1.298,15;;;31,3;682;1070;704
0396192;"FLEXORIPP 1"" KH-DM-KSR 1""x220mm Rd1,25m";;4250204491890;90289090;Stk;;1.340,24;;;36,2;682;1320;704
0396193;"FLEXORIPP 1"" KH-DM-KSR 1""x220mm Rd1,50m";;4250204491906;90289090;Stk;;1.417,45;;;40;682;1570;704
0396194;"FLEXORIPP 1"" KH-DM-KSR 1""x220mm Rd1,75m";;4250204491913;90289090;Stk;;1.515,69;;;44;682;1820;704
0396195;"FLEXORIPP 1"" KH-DM-KSR 1""x220mm Rd2,00m";;4250204491920;90289090;Stk;;1.620,94;;;47,9;682;2070;704
0396210;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd0,75m";;4250204491937;90289090;Stk;;1.076,41;;;26,3;682;820;704
0396211;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd1,00m";;4250204490794;90289090;Stk;;1.076,41;;;30,4;682;1070;704
0396212;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd1,25m";;4250204490374;90289090;Stk;;1.118,52;;;35,3;682;1320;704
0396212-DIBT;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd1,25m";;4250204498028;90289090;Stk;;1.570,03;;;42,4;682;1320;704
0396213;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd1,50m";;4250204490381;90289090;Stk;;1.188,69;;;39;682;1570;704
0396213-WRS;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd1,50m";;4255651703374;90289090;Stk;;1.615,86;;;39;682;1570;704
0396214;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd1,75m";;4250204490800;90289090;Stk;;1.293,94;;;43,1;682;1820;704
0396215;"FLEXORIPP 1"" KH-KMR-KH 1""x190mm Rd2,00m";;4250204490817;90289090;Stk;;1.399,18;;;47;682;2070;704
0396220;"FLEXORIPP 1¼"" KH-KMR-KH 1¼""x260mm Rd0,75m";;4250204492859;90289090;Stk;;1.329,03;;;28,1;682;820;704
0396221;"FLEXORIPP 1¼"" KH-KMR-KH 1¼""x260mm Rd1,00m";;4250204492866;90289090;Stk;;1.329,03;;;32;682;820;704
0396222;"FLEXORIPP 1¼"" KH-KMR-KH 1¼""x260mm Rd1,25m";;4250204492873;90289090;Stk;;1.371,13;;;37;682;820;704
0396223;"FLEXORIPP 1¼"" KH-KMR-KH 1¼""x260mm Rd1,50m";;4250204492880;90289090;Stk;;1.441,30;;;40,7;682;1570;704
0396224;"FLEXORIPP 1¼"" KH-KMR-KH 1¼""x260mm Rd1,75m";;4250204492897;90289090;Stk;;1.546,55;;;44,7;682;820;704
0396225;"FLEXORIPP 1¼"" KH-KMR-KH 1¼""x260mm Rd2,00m";;4250204492903;90289090;Stk;;1.651,82;;;48,6;682;820;704
0396230;"FLEXORIPP 1"" KH-KMR-KH 1¼""x175mm Rd0,75m";;4250204493283;90289090;Stk;;1.203,90;;;30,6;682;1070;704
0396231;"FLEXORIPP 1"" KH-KMR-KH 1¼""x175mm Rd1,00m";;4250204490824;90289090;Stk;;1.104,48;;;30,6;682;1070;704
